year,city,avg_temp
1839,Minneapolis,5.77
1840,Minneapolis,4.86
1841,Minneapolis,4.71
1842,Minneapolis,4.80
1843,Minneapolis,3.33
1844,Minneapolis,4.29
1845,Minneapolis,5.54
1846,Minneapolis,6.89
1847,Minneapolis,4.02
1848,Minneapolis,4.29
1849,Minneapolis,3.97
1850,Minneapolis,4.85
1851,Minneapolis,5.63
1852,Minneapolis,4.91
1853,Minneapolis,4.39
1854,Minneapolis,5.49
1855,Minneapolis,4.30
1856,Minneapolis,3.81
1857,Minneapolis,3.70
1858,Minneapolis,5.45
1859,Minneapolis,3.49
1860,Minneapolis,4.43
1861,Minneapolis,3.99
1862,Minneapolis,3.21
1863,Minneapolis,4.21
1864,Minneapolis,4.16
1865,Minneapolis,4.63
1866,Minneapolis,3.32
1867,Minneapolis,3.24
1868,Minneapolis,3.64
1869,Minneapolis,3.68
1870,Minneapolis,5.54
1871,Minneapolis,4.53
1872,Minneapolis,3.74
1873,Minneapolis,3.56
1874,Minneapolis,4.62
1875,Minneapolis,2.18
1876,Minneapolis,3.71
1877,Minneapolis,5.95
1878,Minneapolis,7.20
1879,Minneapolis,4.92
1880,Minneapolis,4.41
1881,Minneapolis,4.75
1882,Minneapolis,5.14
1883,Minneapolis,2.69
1884,Minneapolis,3.59
1885,Minneapolis,3.43
1886,Minneapolis,4.07
1887,Minneapolis,3.69
1888,Minneapolis,3.14
1889,Minneapolis,5.34
1890,Minneapolis,4.59
1891,Minneapolis,5.16
1892,Minneapolis,4.34
1893,Minneapolis,3.50
1894,Minneapolis,6.10
1895,Minneapolis,4.65
1896,Minneapolis,4.63
1897,Minneapolis,4.59
1898,Minneapolis,5.30
1899,Minneapolis,4.54
1900,Minneapolis,6.00
1901,Minneapolis,5.27
1902,Minneapolis,5.25
1903,Minneapolis,4.05
1904,Minneapolis,3.68
1905,Minneapolis,4.73
1906,Minneapolis,5.25
1907,Minneapolis,3.95
1908,Minneapolis,5.98
1909,Minneapolis,4.75
1910,Minneapolis,5.79
1911,Minneapolis,5.23
1912,Minneapolis,4.07
1913,Minneapolis,5.51
1914,Minneapolis,5.25
1915,Minneapolis,5.50
1916,Minneapolis,3.95
1917,Minneapolis,2.94
1918,Minneapolis,5.62
1919,Minneapolis,5.03
1920,Minneapolis,5.15
1921,Minneapolis,6.85
1922,Minneapolis,5.73
1923,Minneapolis,5.56
1924,Minneapolis,4.03
1925,Minneapolis,5.23
1926,Minneapolis,4.58
1927,Minneapolis,4.43
1928,Minneapolis,5.43
1929,Minneapolis,3.98
1930,Minneapolis,6.06
1931,Minneapolis,8.24
1932,Minneapolis,5.16
1933,Minneapolis,5.64
1934,Minneapolis,6.04
1935,Minneapolis,5.03
1936,Minneapolis,4.31
1937,Minneapolis,4.60
1938,Minneapolis,6.29
1939,Minneapolis,6.11
1940,Minneapolis,5.02
1941,Minneapolis,6.60
1942,Minneapolis,5.80
1943,Minneapolis,4.82
1944,Minneapolis,6.31
1945,Minneapolis,4.70
1946,Minneapolis,5.79
1947,Minneapolis,5.49
1948,Minneapolis,5.46
1949,Minneapolis,5.90
1950,Minneapolis,3.49
1951,Minneapolis,3.84
1952,Minneapolis,5.96
1953,Minneapolis,6.32
1954,Minneapolis,5.85
1955,Minneapolis,5.43
1956,Minneapolis,5.21
1957,Minneapolis,5.36
1958,Minneapolis,5.60
1959,Minneapolis,5.63
1960,Minneapolis,5.30
1961,Minneapolis,5.97
1962,Minneapolis,5.26
1963,Minneapolis,5.90
1964,Minneapolis,5.99
1965,Minneapolis,4.40
1966,Minneapolis,4.69
1967,Minneapolis,4.71
1968,Minneapolis,5.80
1969,Minneapolis,5.23
1970,Minneapolis,4.97
1971,Minneapolis,5.13
1972,Minneapolis,3.88
1973,Minneapolis,6.53
1974,Minneapolis,5.44
1975,Minneapolis,5.33
1976,Minneapolis,5.44
1977,Minneapolis,5.90
1978,Minneapolis,4.91
1979,Minneapolis,4.20
1980,Minneapolis,5.60
1981,Minneapolis,6.48
1982,Minneapolis,4.76
1983,Minneapolis,5.88
1984,Minneapolis,5.95
1985,Minneapolis,4.65
1986,Minneapolis,6.09
1987,Minneapolis,8.21
1988,Minneapolis,6.10
1989,Minneapolis,4.76
1990,Minneapolis,6.65
1991,Minneapolis,6.16
1992,Minneapolis,5.86
1993,Minneapolis,4.80
1994,Minneapolis,5.69
1995,Minneapolis,5.44
1996,Minneapolis,4.01
1997,Minneapolis,5.57
1998,Minneapolis,7.94
1999,Minneapolis,7.15
2000,Minneapolis,6.03
2001,Minneapolis,6.76
2002,Minneapolis,6.30
2003,Minneapolis,6.04
2004,Minneapolis,5.89
2005,Minneapolis,6.87
2006,Minneapolis,7.51
2007,Minneapolis,6.58
2008,Minneapolis,4.84
2009,Minneapolis,5.26
2010,Minneapolis,6.71
2011,Minneapolis,6.25
2012,Minneapolis,7.98
2013,Minneapolis,7.26
1820,Ulaanbaatar,-5.52
1821,Ulaanbaatar,-3.52
1822,Ulaanbaatar,-3.69
1823,Ulaanbaatar,-4.36
1824,Ulaanbaatar,-3.05
1825,Ulaanbaatar,-3.52
1826,Ulaanbaatar,-3.61
1827,Ulaanbaatar,-2.86
1828,Ulaanbaatar,-3.90
1829,Ulaanbaatar,-3.98
1830,Ulaanbaatar,-3.46
1831,Ulaanbaatar,-5.17
1832,Ulaanbaatar,-4.74
1833,Ulaanbaatar,-4.57
1834,Ulaanbaatar,-3.64
1835,Ulaanbaatar,-4.13
1836,Ulaanbaatar,-3.89
1837,Ulaanbaatar,-4.22
1838,Ulaanbaatar,-3.88
1839,Ulaanbaatar,-4.75
1840,Ulaanbaatar,-4.12
1841,Ulaanbaatar,-5.45
1842,Ulaanbaatar,-3.32
1843,Ulaanbaatar,-3.22
1844,Ulaanbaatar,-3.35
1845,Ulaanbaatar,-3.79
1846,Ulaanbaatar,-3.21
1847,Ulaanbaatar,-3.55
1848,Ulaanbaatar,-3.59
1849,Ulaanbaatar,-3.59
1850,Ulaanbaatar,-4.58
1851,Ulaanbaatar,-5.11
1852,Ulaanbaatar,-4.65
1853,Ulaanbaatar,-4.95
1854,Ulaanbaatar,-3.47
1855,Ulaanbaatar,-3.12
1856,Ulaanbaatar,-3.69
1857,Ulaanbaatar,-4.16
1858,Ulaanbaatar,-3.20
1859,Ulaanbaatar,-3.25
1860,Ulaanbaatar,-5.10
1861,Ulaanbaatar,-4.38
1862,Ulaanbaatar,-4.91
1863,Ulaanbaatar,-2.89
1864,Ulaanbaatar,-4.56
1865,Ulaanbaatar,-3.92
1866,Ulaanbaatar,-3.08
1867,Ulaanbaatar,-2.64
1868,Ulaanbaatar,-3.39
1869,Ulaanbaatar,-3.41
1870,Ulaanbaatar,-5.06
1871,Ulaanbaatar,-3.83
1872,Ulaanbaatar,-4.58
1873,Ulaanbaatar,-2.83
1874,Ulaanbaatar,-2.44
1875,Ulaanbaatar,-2.82
1876,Ulaanbaatar,-3.53
1877,Ulaanbaatar,-3.82
1878,Ulaanbaatar,-3.44
1879,Ulaanbaatar,-3.85
1880,Ulaanbaatar,-3.63
1881,Ulaanbaatar,-4.01
1882,Ulaanbaatar,-3.35
1883,Ulaanbaatar,-3.76
1884,Ulaanbaatar,-3.94
1885,Ulaanbaatar,-3.66
1886,Ulaanbaatar,-3.33
1887,Ulaanbaatar,-3.61
1888,Ulaanbaatar,-4.28
1889,Ulaanbaatar,-4.23
1890,Ulaanbaatar,-3.67
1891,Ulaanbaatar,-3.45
1892,Ulaanbaatar,-4.54
1893,Ulaanbaatar,-3.20
1894,Ulaanbaatar,-2.81
1895,Ulaanbaatar,-4.02
1896,Ulaanbaatar,-3.39
1897,Ulaanbaatar,-4.01
1898,Ulaanbaatar,-3.71
1899,Ulaanbaatar,-3.03
1900,Ulaanbaatar,-3.80
1901,Ulaanbaatar,-3.40
1902,Ulaanbaatar,-3.11
